500	2.16E-03
550	1.47E-03
600	1.04E-03
650	7.59E-04
700	5.65E-04
750	4.30E-04
800	3.33E-04
850	2.62E-04
900	2.09E-04
950	1.69E-04
1000	1.38E-04
1050	1.14E-04
1100	9.48E-05
1150	7.97E-05
1200	6.75E-05
1250	5.75E-05
1300	4.94E-05
1350	4.26E-05
1400	3.70E-05
1450	3.23E-05
1500	2.84E-05
1550	2.50E-05
1600	2.21E-05
1650	1.97E-05
1700	1.76E-05
1750	1.57E-05
1800	1.41E-05
1850	1.27E-05
1900	1.15E-05
1950	1.04E-05
2000	9.50E-06
2050	8.67E-06
2100	7.93E-06
2150	7.27E-06
2200	6.68E-06
2250	6.15E-06
2300	5.68E-06
2350	5.25E-06
2400	4.86E-06
2450	4.52E-06
2500	4.20E-06
2550	3.92E-06
2600	3.66E-06
2650	3.42E-06
2700	3.20E-06
2750	3.01E-06
2800	2.82E-06
2850	2.66E-06
2900	2.50E-06
2950	2.36E-06
3000	2.23E-06
3050	2.11E-06
3100	2.00E-06
3150	1.90E-06
3200	1.81E-06
3250	1.72E-06
3300	1.64E-06
3350	1.56E-06
3400	1.49E-06
3450	1.42E-06
3500	1.36E-06
3550	1.30E-06
3600	1.25E-06
3650	1.20E-06
3700	1.15E-06
3750	1.11E-06
3800	1.07E-06
3850	1.03E-06
3900	9.94E-07
3950	9.60E-07
4000	9.28E-07
4050	8.98E-07
4100	8.70E-07
4150	8.44E-07
4200	8.19E-07
4250	7.95E-07
4300	7.73E-07
4350	7.52E-07
4400	7.33E-07
4450	7.15E-07
4500	6.98E-07
4550	6.81E-07
4600	6.66E-07
4650	6.52E-07
4700	6.39E-07
4750	6.26E-07
4800	6.15E-07
4850	6.04E-07
4900	5.94E-07
4950	5.85E-07
5000	5.76E-07
